material_id,formula,label,class
mp-866199,AcAg,-1,unlabeled
mp-1183058,Ac3Zr,-1,unlabeled
mp-24147,AcH2,-1,unlabeled
mp-979014,SrAc3,-1,unlabeled
mp-983567,CaAc3,-1,unlabeled
mp-866286,AcMg,-1,unlabeled
mp-1183059,Ac3Yb,-1,unlabeled
mp-867297,AcIn3,-1,unlabeled
mp-1183082,Ac3Zr,-1,unlabeled
mp-1183226,AcY3,-1,unlabeled
mp-985286,Ac2Mg,-1,unlabeled
mp-1183247,AcSc3,-1,unlabeled
mp-985059,AcLa3,-1,unlabeled
mp-1183049,AcLa,-1,unlabeled
mp-976031,NaAc,-1,unlabeled
mp-1183104,Ac3Nb,-1,unlabeled
mp-1183235,AcNd3,-1,unlabeled
mp-1183255,AcNb3,-1,unlabeled
mp-985506,Ac3Tl,-1,unlabeled
mp-1183080,Ac3Ag,-1,unlabeled
mp-1183183,AcY3,-1,unlabeled
mp-866222,AcSi3,-1,unlabeled
mp-985303,Ac3Th,-1,unlabeled
mp-1183096,Ac3I,-1,unlabeled
mp-1186105,NaAc3,-1,unlabeled
mp-1183927,CsAc3,-1,unlabeled
mp-1183087,Ac3Lu,-1,unlabeled
mp-1183092,Ac3Zn,-1,unlabeled
mp-1183062,AcDy3,-1,unlabeled
mp-867815,AcGa3,-1,unlabeled
mp-1185032,KAc3,-1,unlabeled
mp-985300,AcEr3,-1,unlabeled
mp-1185566,Cs3Ac,-1,unlabeled
mp-865950,AcAg3,-1,unlabeled
mp-1185033,KAc3,-1,unlabeled
mp-865558,AcTe3,-1,unlabeled
mp-1183236,AcYb3,-1,unlabeled
mp-1183947,CsAc,-1,unlabeled
mp-975055,Rb3Ac,-1,unlabeled
mp-1183064,Ac3Au,-1,unlabeled
mp-1183083,Ac3Y,-1,unlabeled
mp-1183095,Ac3La,-1,unlabeled
mp-861939,Ac3Sn,-1,unlabeled
mp-1183090,Ac3Cd,-1,unlabeled
mp-985301,AcDy3,-1,unlabeled
mp-1183217,AcTb3,-1,unlabeled
mp-1183486,Ca3Ac,-1,unlabeled
mp-862289,AcHg3,-1,unlabeled
mp-975468,RbAc3,-1,unlabeled
mp-1183230,AcSm3,-1,unlabeled
mp-1183234,AcSe3,-1,unlabeled
mp-975195,RbAc3,-1,unlabeled
mp-1183110,AcCe3,-1,unlabeled
mp-1183108,Ac3Ti,-1,unlabeled
mp-1183337,Ba3Ac,-1,unlabeled
mp-1183241,AcPm3,-1,unlabeled
mp-1183081,Ac3Dy,-1,unlabeled
mp-1183114,AcCu3,-1,unlabeled
mp-1183091,Ac3Er,-1,unlabeled
mp-867800,AcSe3,-1,unlabeled
mp-862617,AcAl3,-1,unlabeled
mp-984785,AcMg3,-1,unlabeled
