material_id,formula
mp-11236,MgZnAg2
mp-10965,DyAgSb2
mp-522,CuAu
mp-1008,NiHg
mp-24719,NiH
mp-1692,CuO
mp-499,AgO
mp-8700,K2Au3
mp-568718,HfAl3
mp-542915,TiAl3
mp-1101,TmAs
mp-1186963,Sc3As
mp-2196,BaSb2
mp-1590,Be12Cr
mp-1008865,NdCd2
mp-20225,CePb3
mp-257,DyIn
mp-729,Cr3Si
mp-2684,TbGa2
mp-2215,ThHg2
mp-11488,LaTl
mp-892,ScPt
mp-1014230,TiZn
mp-10192,LuP
mp-983459,HfZr
mp-2126,HfIr3
mp-979289,TaW3
mp-1007755,HfAu
mp-11840,BaAg
mp-1118,SiNi2
mp-11507,Ni4Mo
mp-12651,MgPt
mp-12742,MgPd3
mp-124,Ag
mp-81,Au
mp-30,Cu
mp-806,PuO
mp-1205616,SO4
mp-978096,Pu3Au
mp-10890,LiAl3
