material_id,formula
mp-866199,AcAg
mp-1183058,Ac3Zr
mp-24147,AcH2
mp-979014,SrAc3
mp-983567,CaAc3
mp-866286,AcMg
mp-1183059,Ac3Yb
mp-867297,AcIn3
mp-1183082,Ac3Zr
mp-1183226,AcY3
mp-985286,Ac2Mg
mp-1183247,AcSc3
mp-985059,AcLa3
mp-1183049,AcLa
mp-976031,NaAc
mp-1183104,Ac3Nb
mp-1183235,AcNd3
mp-1183255,AcNb3
mp-985506,Ac3Tl
mp-1183080,Ac3Ag
mp-1183183,AcY3
mp-866222,AcSi3
mp-985303,Ac3Th
mp-1183096,Ac3I
mp-1186105,NaAc3
mp-1183927,CsAc3
mp-1183087,Ac3Lu
mp-1183092,Ac3Zn
mp-1183062,AcDy3
mp-867815,AcGa3
mp-1185032,KAc3
mp-985300,AcEr3
mp-1185566,Cs3Ac
mp-865950,AcAg3
mp-1185033,KAc3
mp-865558,AcTe3
mp-1183236,AcYb3
mp-1183947,CsAc
mp-975055,Rb3Ac
mp-1183064,Ac3Au
mp-1183083,Ac3Y
mp-1183095,Ac3La
mp-861939,Ac3Sn
mp-1183090,Ac3Cd
mp-985301,AcDy3
mp-1183217,AcTb3
mp-1183486,Ca3Ac
mp-862289,AcHg3
mp-975468,RbAc3
mp-1183230,AcSm3
mp-1183234,AcSe3
mp-975195,RbAc3
mp-1183110,AcCe3
mp-1183108,Ac3Ti
mp-1183337,Ba3Ac
mp-1183241,AcPm3
mp-1183081,Ac3Dy
mp-1183114,AcCu3
mp-1183091,Ac3Er
mp-867800,AcSe3
mp-862617,AcAl3
mp-984785,AcMg3
mp-867890,AcCd3
mp-1183088,Ac3Yb
mp-1183084,Ac3Tm
mp-1186103,NaAc3
mp-1183056,Ac3Cl
mp-1183239,AcPr3
mp-985302,Ac3Pr
mp-867838,AcAu3
mp-1008617,YbAg2
mp-1183248,AgSn3
mp-567891,NdAg2
mp-11478,GaAg
mp-1223839,InAg3
mp-1183205,Ag3Au
mp-1186017,Na3Ag
mp-976772,NiAg3
mp-611,Ag3Sn
mp-975051,Rb3Ag
mp-1219243,SiAg3
mp-1241,BaAg2
mp-538,CaAg
mp-542298,Ag2F5
mp-1229108,Ag3Ge
mp-8222,AgO
mp-1008601,ZrAg2
mp-1025059,LaAg2
mp-1187267,Tb3Ag
mp-1183229,AgIr
mp-568936,Ag2Se
mp-1226933,Cd3Ag
mp-12612,Ba3Ag2
mp-568953,LuAg4
mp-1017985,TiAg
mp-1183224,AgAu3
mp-1215437,ZnAg
mp-2474,YAg
mp-1214982,AgC6
mp-1183245,AgGe3
mp-1912,ZnAg
mp-1091417,AgN
mp-16240,Ag3Sb
mp-30353,AgPt3
mp-1184226,Ga3Ag
mp-2268,TbAg
mp-1056955,AgN
mp-1224795,GaAg3
mp-30362,Zr3Ag
mp-379,AgSe
mp-1229111,Ag3Bi
mp-30357,Sr3Ag2
mp-1183815,DyAg3
mp-1223787,InAg3
mp-864635,Ag2Cl3
mp-985702,AgPb3
mp-1187102,Sr3Ag
mp-1184493,In3Ag
mp-1185499,LuAg3
mp-12065,Ag3Pt
mp-978254,La3Ag
mp-13156,HfAg
mp-1183272,Ag3Br
mp-38238,Ag2O
mp-976762,NiAg3
mp-1184301,Ga3Ag
mp-985297,Ag3Rh
mp-1072619,PrAg2
mp-1186539,PmAg3
mp-862878,PmAg3
mp-974525,ReAg3
mp-1183244,Ag3F
mp-1605,Ag3O4
mp-1183627,CdAg3
mp-1186033,Na3Ag
mp-2475,SmAg
mp-978790,Sm3Ag
mp-1187946,ZnAg3
mp-864794,ZnAg3
mp-1183156,Ag3Rh
mp-12062,AgB2
mp-1184172,ErAg3
mp-30360,TmAg3
mp-1008912,AgC
mp-685048,Ag2Te
mp-1183265,Ag3Cl
mp-1183511,CaAg3
mp-2284,AgF2
mp-984351,CuAg3
mp-1186034,Na3Ag
mp-1187821,YbAg3
mp-1228927,AlAg3
mp-977126,Li3Ag
mp-1183227,AgAu
mp-30339,ErAg2
mp-1183210,AgHg3
mp-2525,PrAg
mp-985805,AlAg2
mp-1183137,Ag3Au
mp-1186973,ScAg3
mp-972557,SmAg3
mp-1009018,InAg
mp-1183193,Ag3As
mp-1187811,YAg3
mp-2266,YbAg
mp-1183967,GaAg3
mp-1184564,Hf3Ag
mp-2642,CdAg
mp-646824,Ca3Ag8
mp-1101086,AgSe5
mp-309,ThAg2
mp-2778,HoAg
mp-985287,AgAu3
mp-865875,Li3Ag
mp-1095654,SiAg2
mp-1018131,LuAg2
mp-1223819,InAg4
mp-567857,Cd8Ag5
mp-973174,NaAg3
mp-981748,TbAg3
mp-1077322,BaAg2
mp-1229093,Ag2Hg
mp-7711,Ag2O
mp-1187969,Zn3Ag
mp-30351,MgAg3
mp-1187005,SiAg3
mp-2120,HoAg2
mp-2621,ErAg
mp-973965,Nd3Ag
mp-1226728,CdAg
mp-568559,YbAg2
mp-1072737,NdAg2
mp-2233,Th2Ag
mp-30359,TmAg2
mp-13270,CaAg2
mp-976592,K3Ag
mp-978806,Si3Ag
mp-11239,ZrAg
mp-1236,NdAg
mp-999197,AgN
mp-758433,AgHg
mp-1229012,AgPd
mp-30356,SrAg2
mp-758523,AgHg
mp-1184011,Cu3Ag
mp-1184036,GaAg3
mp-571212,Yb5Ag3
mp-30343,InAg3
mp-1066856,AgO
mp-1183178,AgAs
mp-684798,Ag2Te
mp-1183222,AgPd
mp-2796,TmAg
mp-1187490,Tl3Ag
mp-1186499,Pm3Ag
mp-1229032,AgPt4
mp-985283,Ag3Ge
mp-1228947,AlAg4
mp-2167,DyAg
mp-985299,Ag3N
mvc-11196,AgN
mp-30354,ScAg4
mp-1183214,Ag3Au
mp-2273,Ag3Sb
mp-1229015,AgPt
mp-1229105,Ag3Sb
mp-28246,AgTe3
mp-32811,Ag2Te
mp-1215497,Zn3Ag
mp-1184517,In3Ag
mp-1185024,LaAg3
mp-1186896,ReAg3
mp-979115,Ti2Ag
mp-1183225,Ag3Rh
mp-12735,KAg2
mp-985296,Ag3Pd
mp-1184257,Ga3Ag
mp-1187545,Tl3Ag
mp-1814,BaAg5
mp-1391,Ag2F
mp-862716,LiAg3
mp-1183452,Ca3Ag
mp-1183250,Ag3Hg
mp-30355,SrAg
mp-975647,Pr3Ag
mp-1183141,AgC
mp-1592,Ag2Te
mp-1948,LaAg
mp-1184294,FeAg3
mp-1186704,Pr3Ag
mp-1187952,ZnAg3
mp-985282,Ag3Ge
mp-568654,PrAg2
mp-1183202,Ag3As
mp-569486,Yb2Ag7
mp-1009766,AgN
mp-2221,Zr2Ag
mp-2618,DyAg2
mp-1187915,Yb3Ag
mp-978524,Si3Ag
mp-28963,Ag8S
mp-985443,Ag3Hg
mp-1187816,YAg3
mp-1226736,CdAg3
mp-19974,In2Ag
mp-571608,Yb3Ag2
mp-1184993,La3Ag
mp-30352,NaAg2
mp-864952,Mg3Ag
mp-1106092,Sr7Ag3
mp-27819,Ag3O
mp-1009767,AgN
mp-1183647,CdAg3
mp-1186100,NaAg3
mp-1206995,K2Ag
mp-11237,ScAg
mp-1226726,CdAg
mp-867303,AgAu3
mp-1229041,AgTe3
mp-865910,CdAg3
mp-1183206,Ag3Pd
mp-980060,TbAg3
mp-2410,SrAg5
mp-985295,Ag3P
mp-1008653,AgC
mp-1229092,AgAu
mp-862736,SmAg3
mp-30358,TbAg2
mp-1183471,CaAg3
mp-31172,Ca5Ag3
mp-32758,Ag2Se
mp-1183209,AgPt
mp-33154,AgI2
mp-28228,Ag7Te4
mp-999544,YAg2
mp-7715,AgF2
mp-1187974,ZnAg
mp-1188064,YbAg3
mp-1183261,Ag3Ru
mp-12665,Be12Ag
mp-1228901,AlAg
mp-1018128,ScAg2
mp-1226716,CdAg
mp-1183130,Al3Ag
mp-1183249,Ag3Se
mp-1187413,ThAg3
mp-603,Be2Ag
mp-568629,YbAg
mp-984719,BeAg3
mp-11872,Ag2O3
mp-1229107,Ag3Sn
mvc-15664,AgN
mp-7592,AgF
mp-1183254,Ag3S
mp-578,GaAg2
mp-760385,In2Ag
